iter	Passed	Remaining
0	5	5410
1	10	5354
2	15	5312
3	20	5120
4	26	5257
5	32	5385
6	38	5419
7	44	5469
8	49	5447
9	53	5332
10	58	5262
11	63	5244
12	69	5277
13	74	5278
14	80	5299
15	85	5230
16	90	5219
17	95	5202
18	100	5182
19	105	5175
20	110	5165
21	115	5138
22	119	5083
23	126	5130
24	131	5120
25	135	5081
26	140	5078
27	145	5065
28	150	5028
29	155	5011
30	159	4994
31	165	4993
32	170	4991
33	175	4977
34	180	4984
35	185	4957
36	189	4930
37	195	4949
38	199	4924
39	204	4915
40	210	4919
41	215	4915
42	219	4894
43	225	4900
44	230	4901
45	234	4871
46	241	4887
47	246	4881
48	250	4862
49	255	4850
50	261	4862
51	265	4848
52	270	4830
53	275	4830
54	280	4813
55	284	4798
56	290	4800
57	294	4784
58	298	4768
59	304	4763
60	309	4761
61	313	4746
62	319	4748
63	324	4752
64	329	4736
65	334	4729
66	339	4732
67	345	4729
68	349	4715
69	354	4708
70	359	4697
71	363	4684
72	368	4678
73	373	4671
74	377	4660
75	383	4656
76	388	4653
77	392	4638
78	397	4630
79	402	4624
80	406	4610
81	411	4608
82	417	4609
83	422	4602
84	426	4594
85	431	4590
86	436	4584
87	441	4574
88	446	4571
89	452	4572
90	456	4557
91	461	4558
92	467	4559
93	471	4549
94	476	4539
95	481	4536
96	486	4530
97	492	4528
98	496	4521
99	501	4512
100	505	4503
101	511	4506
102	517	4506
103	523	4508
104	527	4499
105	533	4497
106	537	4486
107	542	4480
108	548	4483
109	552	4472
110	557	4467
111	562	4460
112	566	4449
113	571	4441
114	576	4434
115	581	4430
116	586	4423
117	591	4421
118	596	4418
119	601	4408
120	606	4405
121	613	4417
122	618	4409
123	623	4404
124	628	4402
125	633	4393
126	638	4390
127	644	4389
128	648	4378
129	653	4372
130	657	4364
131	662	4357
132	667	4348
133	672	4343
134	677	4340
135	682	4335
136	687	4328
137	691	4320
138	695	4308
139	700	4301
140	705	4299
141	710	4293
142	715	4289
143	720	4284
144	726	4281
145	730	4272
146	735	4268
147	740	4265
148	745	4257
149	750	4251
150	755	4245
151	759	4238
152	765	4235
153	769	4228
154	774	4222
155	778	4213
156	783	4206
157	789	4205
158	793	4197
159	798	4190
160	803	4189
161	809	4186
162	814	4180
163	819	4177
164	823	4169
165	828	4162
166	833	4159
167	838	4154
168	843	4147
169	848	4141
170	853	4137
171	858	4131
172	863	4127
173	868	4121
174	872	4114
175	877	4108
176	881	4100
177	886	4095
178	891	4088
179	897	4086
180	902	4084
181	906	4075
182	911	4070
183	917	4069
184	921	4061
185	926	4054
186	931	4048
187	935	4041
188	941	4037
189	945	4032
190	950	4027
191	955	4021
192	960	4016
193	965	4012
194	970	4006
195	975	4000
196	980	3995
197	985	3990
198	990	3986
199	995	3981
200	1000	3978
201	1006	3975
202	1012	3974
203	1017	3968
204	1021	3961
205	1026	3956
206	1031	3952
207	1035	3944
208	1040	3939
209	1045	3934
210	1050	3927
211	1054	3919
212	1060	3917
213	1065	3911
214	1069	3905
215	1074	3899
216	1079	3893
217	1084	3888
218	1089	3886
219	1094	3881
220	1098	3873
221	1103	3868
222	1108	3862
223	1113	3856
224	1118	3851
225	1123	3846
226	1128	3841
227	1132	3834
228	1137	3831
229	1143	3829
230	1147	3821
231	1152	3816
232	1158	3813
233	1162	3806
234	1168	3802
235	1174	3803
236	1179	3797
237	1185	3795
238	1191	3792
239	1195	3785
240	1200	3779
241	1205	3775
242	1209	3769
243	1214	3764
244	1220	3760
245	1225	3754
246	1229	3747
247	1234	3742
248	1239	3739
249	1244	3734
250	1249	3729
251	1255	3725
252	1259	3718
253	1264	3713
254	1269	3710
255	1274	3703
256	1279	3698
257	1284	3695
258	1289	3689
259	1294	3683
260	1298	3677
261	1303	3671
262	1308	3666
263	1312	3660
264	1318	3656
265	1322	3649
266	1327	3643
267	1331	3637
268	1336	3632
269	1341	3626
270	1346	3621
271	1351	3617
272	1355	3610
273	1361	3606
274	1366	3601
275	1371	3596
276	1376	3591
277	1382	3590
278	1387	3584
279	1392	3581
280	1398	3578
281	1402	3571
282	1407	3566
283	1413	3562
284	1418	3557
285	1423	3552
286	1427	3547
287	1432	3542
288	1437	3537
289	1442	3531
290	1447	3527
291	1452	3521
292	1457	3516
293	1463	3514
294	1467	3508
295	1473	3504
296	1479	3501
297	1483	3494
298	1490	3493
299	1495	3490
300	1500	3484
301	1505	3478
302	1510	3474
303	1514	3468
304	1520	3464
305	1525	3458
306	1529	3452
307	1534	3446
308	1539	3442
309	1544	3438
310	1548	3431
311	1554	3427
312	1559	3423
313	1564	3417
314	1570	3414
315	1575	3410
316	1580	3405
317	1585	3400
318	1591	3397
319	1595	3391
320	1601	3387
321	1606	3382
322	1611	3376
323	1616	3372
324	1621	3367
325	1626	3362
326	1631	3357
327	1635	3351
328	1641	3347
329	1645	3340
330	1650	3335
331	1655	3331
332	1660	3325
333	1666	3322
334	1671	3318
335	1676	3312
336	1681	3308
337	1687	3304
338	1691	3298
339	1697	3294
340	1701	3288
341	1706	3283
342	1711	3278
343	1716	3273
344	1721	3267
345	1725	3261
346	1730	3256
347	1736	3253
348	1741	3247
349	1746	3244
350	1752	3240
351	1756	3233
352	1761	3228
353	1767	3225
354	1772	3221
355	1777	3215
356	1783	3212
357	1787	3206
358	1792	3200
359	1798	3197
360	1803	3191
361	1807	3186
362	1812	3180
363	1817	3176
364	1821	3169
365	1826	3164
366	1832	3160
367	1836	3153
368	1841	3148
369	1846	3144
370	1851	3138
371	1856	3134
372	1862	3130
373	1867	3125
374	1871	3119
375	1877	3115
376	1882	3110
377	1886	3104
378	1891	3099
379	1897	3095
380	1901	3089
381	1907	3085
382	1914	3083
383	1919	3078
384	1924	3073
385	1929	3069
386	1934	3063
387	1939	3058
388	1945	3055
389	1950	3050
390	1955	3046
391	1961	3042
392	1965	3036
393	1971	3031
394	1977	3029
395	1981	3022
396	1987	3018
397	1993	3014
398	1997	3009
399	2003	3004
400	2008	2999
401	2012	2993
402	2017	2988
403	2022	2984
404	2027	2979
405	2032	2973
406	2037	2968
407	2042	2964
408	2047	2958
409	2053	2954
410	2058	2949
411	2062	2944
412	2068	2940
413	2073	2935
414	2077	2928
415	2082	2924
416	2087	2918
417	2092	2913
418	2097	2907
419	2101	2902
420	2107	2898
421	2111	2892
422	2117	2887
423	2122	2883
424	2126	2877
425	2132	2872
426	2137	2867
427	2142	2862
428	2147	2858
429	2153	2854
430	2157	2848
431	2162	2843
432	2167	2838
433	2173	2834
434	2177	2828
435	2182	2823
436	2187	2818
437	2192	2813
438	2197	2807
439	2202	2803
440	2207	2797
441	2212	2792
442	2218	2789
443	2222	2783
444	2228	2779
445	2232	2773
446	2237	2768
447	2242	2763
448	2248	2758
449	2253	2753
450	2257	2748
451	2262	2743
452	2268	2738
453	2272	2733
454	2277	2728
455	2283	2724
456	2287	2718
457	2293	2713
458	2298	2709
459	2303	2703
460	2307	2698
461	2313	2693
462	2318	2688
463	2323	2683
464	2328	2678
465	2333	2673
466	2338	2669
467	2343	2664
468	2348	2659
469	2354	2654
470	2359	2650
471	2364	2645
472	2369	2639
473	2374	2634
474	2379	2629
475	2383	2624
476	2389	2619
477	2394	2614
478	2398	2609
479	2404	2604
480	2408	2599
481	2414	2594
482	2419	2589
483	2423	2584
484	2429	2579
485	2433	2573
486	2439	2570
487	2444	2565
488	2448	2559
489	2453	2554
490	2460	2550
491	2465	2545
492	2470	2540
493	2476	2536
494	2481	2531
495	2485	2525
496	2491	2521
497	2495	2515
498	2500	2510
499	2504	2504
500	2510	2500
501	2515	2495
502	2520	2490
503	2526	2486
504	2530	2480
505	2535	2475
506	2542	2472
507	2546	2466
508	2551	2461
509	2557	2457
510	2561	2451
511	2566	2446
512	2572	2441
513	2576	2436
514	2581	2431
515	2586	2426
516	2591	2421
517	2595	2415
518	2600	2410
519	2606	2406
520	2610	2400
521	2615	2395
522	2621	2391
523	2626	2386
524	2631	2381
525	2638	2377
526	2643	2372
527	2647	2366
528	2654	2363
529	2658	2357
530	2663	2352
531	2670	2349
532	2674	2343
533	2679	2338
534	2684	2333
535	2689	2327
536	2693	2322
537	2698	2317
538	2703	2312
539	2708	2307
540	2713	2302
541	2719	2297
542	2723	2292
543	2728	2286
544	2735	2283
545	2740	2278
546	2744	2273
547	2749	2268
548	2754	2262
549	2759	2257
550	2765	2253
551	2769	2247
552	2775	2243
553	2781	2239
554	2786	2234
555	2791	2229
556	2797	2224
557	2801	2219
558	2806	2214
559	2811	2208
560	2816	2203
561	2823	2200
562	2827	2195
563	2832	2189
564	2837	2184
565	2843	2180
566	2847	2174
567	2852	2169
568	2857	2164
569	2862	2159
570	2867	2154
571	2872	2149
572	2878	2144
573	2882	2139
574	2888	2134
575	2893	2129
576	2897	2124
577	2902	2119
578	2907	2114
579	2912	2108
580	2917	2103
581	2922	2099
582	2927	2094
583	2933	2089
584	2938	2084
585	2943	2079
586	2948	2074
587	2953	2069
588	2958	2064
589	2962	2058
590	2967	2053
591	2972	2048
592	2977	2043
593	2982	2038
594	2987	2033
595	2992	2028
596	2997	2023
597	3002	2018
598	3007	2013
599	3011	2007
600	3017	2003
601	3023	1998
602	3027	1993
603	3032	1988
604	3038	1983
605	3042	1978
606	3047	1973
607	3053	1968
608	3057	1962
609	3061	1957
610	3066	1952
611	3071	1947
612	3075	1941
613	3080	1936
614	3086	1931
615	3090	1926
616	3095	1921
617	3100	1916
618	3105	1911
619	3111	1907
620	3116	1902
621	3121	1897
622	3126	1892
623	3131	1887
624	3136	1882
625	3142	1877
626	3147	1872
627	3152	1867
628	3156	1861
629	3161	1856
630	3166	1851
631	3170	1846
632	3175	1841
633	3181	1836
634	3186	1831
635	3192	1827
636	3197	1822
637	3202	1816
638	3209	1813
639	3214	1808
640	3219	1803
641	3224	1798
642	3230	1793
643	3234	1788
644	3240	1783
645	3244	1777
646	3250	1773
647	3255	1768
648	3260	1763
649	3266	1758
650	3270	1753
651	3275	1748
652	3281	1743
653	3285	1738
654	3289	1732
655	3295	1728
656	3300	1723
657	3305	1718
658	3311	1713
659	3316	1708
660	3321	1703
661	3326	1698
662	3330	1693
663	3335	1687
664	3340	1682
665	3345	1678
666	3350	1672
667	3355	1667
668	3361	1663
669	3365	1657
670	3370	1652
671	3376	1647
672	3380	1642
673	3386	1637
674	3392	1633
675	3397	1628
676	3402	1623
677	3408	1618
678	3412	1613
679	3417	1608
680	3423	1603
681	3429	1598
682	3433	1593
683	3439	1588
684	3444	1583
685	3448	1578
686	3454	1573
687	3459	1568
688	3463	1563
689	3468	1558
690	3474	1553
691	3478	1548
692	3483	1543
693	3490	1539
694	3495	1533
695	3501	1529
696	3507	1524
697	3511	1519
698	3515	1513
699	3521	1509
700	3527	1504
701	3531	1499
702	3537	1494
703	3541	1489
704	3546	1483
705	3551	1478
706	3556	1473
707	3560	1468
708	3565	1463
709	3571	1458
710	3575	1453
711	3579	1447
712	3585	1443
713	3590	1438
714	3594	1432
715	3599	1427
716	3604	1422
717	3609	1417
718	3615	1412
719	3620	1407
720	3624	1402
721	3629	1397
722	3635	1392
723	3639	1387
724	3644	1382
725	3650	1377
726	3655	1372
727	3660	1367
728	3666	1363
